"Country or territory of asylum or residence","Country or territory of origin","Year","Refugees","Refugees assisted by UNHCR","Total refugees and people in refugee-like situations","Total refugees and people in refugee-like situations assisted by UNHCR"
"Swaziland","Angola","2013","12","0","12","0"
"Swaziland","Bulgaria","2013","4","0","4","0"
"Swaziland","Burundi","2013","91","49","91","49"
"Swaziland","Cameroon","2013","6","0","6","0"
"Swaziland","Côte d'Ivoire","2013","1","0","1","0"
"Swaziland","Dem. Rep. of the Congo","2013","258","74","258","74"
"Swaziland","Ethiopia","2013","5","0","5","0"
"Swaziland","Guinea","2013","2","0","2","0"
"Swaziland","Kenya","2013","2","0","2","0"
"Swaziland","Liberia","2013","3","0","3","0"
"Swaziland","Rwanda","2013","82","19","82","19"
"Swaziland","Somalia","2013","22","19","22","19"
"Swaziland","South Africa","2013","1","0","1","0"
"Swaziland","Sri Lanka","2013","1","0","1","0"
"Swaziland","Uganda","2013","7","1","7","1"
"Swaziland","United Rep. of Tanzania","2013","2","1","2","1"
"Swaziland","Zimbabwe","2013","8","0","8","0"
"Sweden","Afghanistan","2013","10499","0","10499","0"
"Sweden","Albania","2013","252","0","252","0"
"Sweden","Algeria","2013","62","0","62","0"
"Sweden","Angola","2013","76","0","76","0"
"Sweden","Argentina","2013","0","0","0","0"
"Sweden","Armenia","2013","552","0","552","0"
"Sweden","Australia","2013","3","0","3","0"
"Sweden","Azerbaijan","2013","889","0","889","0"
"Sweden","Bahrain","2013","2","0","2","0"
"Sweden","Bangladesh","2013","252","0","252","0"
"Sweden","Belarus","2013","175","0","175","0"
"Sweden","Belgium","2013","13","0","13","0"
"Sweden","Benin","2013","5","0","5","0"
"Sweden","Bhutan","2013","9","0","9","0"
"Sweden","Bolivia (Plurinational State of)","2013","59","0","59","0"
"Sweden","Bosnia and Herzegovina","2013","590","0","590","0"
"Sweden","Brazil","2013","7","0","7","0"
"Sweden","Bulgaria","2013","26","0","26","0"
"Sweden","Burkina Faso","2013","4","0","4","0"
"Sweden","Burundi","2013","1069","0","1069","0"
"Sweden","Cambodia","2013","5","0","5","0"
"Sweden","Cameroon","2013","126","0","126","0"
"Sweden","Central African Rep.","2013","0","0","0","0"
"Sweden","Chad","2013","4","0","4","0"
"Sweden","Chile","2013","30","0","30","0"
"Sweden","China","2013","264","0","264","0"
"Sweden","Colombia","2013","55","0","55","0"
"Sweden","Comoros","2013","4","0","4","0"
"Sweden","Congo","2013","66","0","66","0"
"Sweden","Côte d'Ivoire","2013","72","0","72","0"
"Sweden","Croatia","2013","25","0","25","0"
"Sweden","Cuba","2013","89","0","89","0"
"Sweden","Czech Rep.","2013","2","0","2","0"
"Sweden","Dem. People's Rep. of Korea","2013","8","0","8","0"
"Sweden","Dem. Rep. of the Congo","2013","320","0","320","0"
"Sweden","Denmark","2013","1","0","1","0"
"Sweden","Djibouti","2013","6","0","6","0"
"Sweden","Dominican Rep.","2013","1","0","1","0"
"Sweden","Ecuador","2013","24","0","24","0"
"Sweden","Egypt","2013","173","0","173","0"
"Sweden","El Salvador","2013","41","0","41","0"
"Sweden","Equatorial Guinea","2013","2","0","2","0"
"Sweden","Eritrea","2013","8954","0","8954","0"
"Sweden","Estonia","2013","5","0","5","0"
"Sweden","Ethiopia","2013","598","0","598","0"
"Sweden","France","2013","2","0","2","0"
"Sweden","Gambia","2013","78","0","78","0"
"Sweden","Georgia","2013","158","0","158","0"
"Sweden","Germany","2013","6","0","6","0"
"Sweden","Ghana","2013","33","0","33","0"
"Sweden","Greece","2013","0","0","0","0"
"Sweden","Guatemala","2013","6","0","6","0"
"Sweden","Guinea","2013","73","0","73","0"
"Sweden","Guinea-Bissau","2013","6","0","6","0"
"Sweden","Haiti","2013","1","0","1","0"
"Sweden","Honduras","2013","11","0","11","0"
"Sweden","Hungary","2013","1","0","1","0"
"Sweden","India","2013","56","0","56","0"
"Sweden","Indonesia","2013","6","0","6","0"
"Sweden","Iraq","2013","24006","0","24006","0"
"Sweden","Islamic Rep. of Iran","2013","3763","0","3763","0"
"Sweden","Israel","2013","32","0","32","0"
"Sweden","Italy","2013","3","0","3","0"
"Sweden","Jordan","2013","326","0","326","0"
"Sweden","Kazakhstan","2013","320","0","320","0"
"Sweden","Kenya","2013","78","0","78","0"
"Sweden","Kiribati","2013","16","0","16","0"
"Sweden","Kuwait","2013","20","0","20","0"
"Sweden","Kyrgyzstan","2013","229","0","229","0"
"Sweden","Lao People's Dem. Rep.","2013","1","0","1","0"
"Sweden","Latvia","2013","8","0","8","0"
"Sweden","Lebanon","2013","453","0","453","0"
"Sweden","Liberia","2013","22","0","22","0"
"Sweden","Libya","2013","380","0","380","0"
"Sweden","Lithuania","2013","7","0","7","0"
"Sweden","Malaysia","2013","5","0","5","0"
"Sweden","Mali","2013","17","0","17","0"
"Sweden","Mauritania","2013","9","0","9","0"
"Sweden","Mongolia","2013","198","0","198","0"
"Sweden","Montenegro","2013","56","0","56","0"
"Sweden","Morocco","2013","98","0","98","0"
"Sweden","Myanmar","2013","43","0","43","0"
"Sweden","Namibia","2013","0","0","0","0"
"Sweden","Nepal","2013","25","0","25","0"
"Sweden","Netherlands","2013","2","0","2","0"
"Sweden","Nicaragua","2013","5","0","5","0"
"Sweden","Niger","2013","3","0","3","0"
"Sweden","Nigeria","2013","257","0","257","0"
"Sweden","Norway","2013","3","0","3","0"
"Sweden","Pakistan","2013","248","0","248","0"
"Sweden","Peru","2013","35","0","35","0"
"Sweden","Philippines","2013","35","0","35","0"
"Sweden","Poland","2013","3","0","3","0"
"Sweden","Rep. of Korea","2013","9","0","9","0"
"Sweden","Rep. of Moldova","2013","8","0","8","0"
"Sweden","Romania","2013","49","0","49","0"
"Sweden","Russian Federation","2013","1941","0","1941","0"
"Sweden","Rwanda","2013","43","0","43","0"
"Sweden","Saudi Arabia","2013","13","0","13","0"
"Sweden","Senegal","2013","16","0","16","0"
"Sweden","Serbia (and Kosovo: S/RES/1244 (1999))","2013","3608","0","3608","0"
"Sweden","Sierra Leone","2013","55","0","55","0"
"Sweden","Singapore","2013","2","0","2","0"
"Sweden","Slovakia","2013","8","0","8","0"
"Sweden","Slovenia","2013","0","0","0","0"
"Sweden","Somalia","2013","20613","0","20613","0"
"Sweden","South Africa","2013","1","0","1","0"
"Sweden","South Sudan","2013","0","0","0","0"
"Sweden","Spain","2013","1","0","1","0"
"Sweden","Sri Lanka","2013","47","0","47","0"
"Sweden","Stateless","2013","8570","0","8570","0"
"Sweden","Sudan","2013","379","0","379","0"
"Sweden","Swaziland","2013","1","0","1","0"
"Sweden","Syrian Arab Rep.","2013","17984","0","17984","0"
"Sweden","Tajikistan","2013","44","0","44","0"
"Sweden","Thailand","2013","13","0","13","0"
"Sweden","The former Yugoslav Rep. of Macedonia","2013","107","0","107","0"
"Sweden","Togo","2013","17","0","17","0"
"Sweden","Tunisia","2013","44","0","44","0"
"Sweden","Turkey","2013","451","0","451","0"
"Sweden","Turkmenistan","2013","55","0","55","0"
"Sweden","Uganda","2013","406","0","406","0"
"Sweden","Ukraine","2013","107","0","107","0"
"Sweden","United Kingdom","2013","6","0","6","0"
"Sweden","United Rep. of Tanzania","2013","22","0","22","0"
"Sweden","United States","2013","14","0","14","0"
"Sweden","Uruguay","2013","0","0","0","0"
"Sweden","Uzbekistan","2013","1504","0","1504","0"
"Sweden","Various","2013","848","0","848","0"
"Sweden","Venezuela (Bolivarian Republic of)","2013","3","0","3","0"
"Sweden","Viet Nam","2013","82","0","82","0"
"Sweden","Yemen","2013","499","0","499","0"
"Sweden","Zambia","2013","3","0","3","0"
"Sweden","Zimbabwe","2013","40","0","40","0"
"Switzerland","Afghanistan","2013","2578","0","2578","0"
"Switzerland","Albania","2013","42","0","42","0"
"Switzerland","Algeria","2013","179","0","179","0"
"Switzerland","Angola","2013","1055","0","1055","0"
"Switzerland","Argentina","2013","1","0","1","0"
"Switzerland","Armenia","2013","83","0","83","0"
"Switzerland","Austria","2013","2","0","2","0"
"Switzerland","Azerbaijan","2013","65","0","65","0"
"Switzerland","Bahrain","2013","0","0","0","0"
"Switzerland","Bangladesh","2013","48","0","48","0"
"Switzerland","Belarus","2013","28","0","28","0"
"Switzerland","Benin","2013","25","0","25","0"
"Switzerland","Bhutan","2013","1","0","1","0"
"Switzerland","Bolivia (Plurinational State of)","2013","1","0","1","0"
"Switzerland","Bosnia and Herzegovina","2013","2603","0","2603","0"
"Switzerland","Brazil","2013","10","0","10","0"
"Switzerland","Bulgaria","2013","14","0","14","0"
"Switzerland","Burkina Faso","2013","11","0","11","0"
"Switzerland","Burundi","2013","72","0","72","0"
"Switzerland","Cabo Verde","2013","1","0","1","0"
"Switzerland","Cambodia","2013","364","0","364","0"
"Switzerland","Cameroon","2013","194","0","194","0"
"Switzerland","Canada","2013","1","0","1","0"
"Switzerland","Central African Rep.","2013","5","0","5","0"
"Switzerland","Chad","2013","49","0","49","0"
"Switzerland","Chile","2013","11","0","11","0"
"Switzerland","China","2013","1684","0","1684","0"
"Switzerland","Colombia","2013","308","0","308","0"
"Switzerland","Congo","2013","76","0","76","0"
"Switzerland","Côte d'Ivoire","2013","134","0","134","0"
"Switzerland","Croatia","2013","46","0","46","0"
"Switzerland","Cuba","2013","38","0","38","0"
"Switzerland","Czech Rep.","2013","8","0","8","0"
"Switzerland","Dem. People's Rep. of Korea","2013","2","0","2","0"
"Switzerland","Dem. Rep. of the Congo","2013","1287","0","1287","0"
"Switzerland","Djibouti","2013","4","0","4","0"
"Switzerland","Dominican Rep.","2013","1","0","1","0"
"Switzerland","Ecuador","2013","14","0","14","0"
"Switzerland","Egypt","2013","56","0","56","0"
"Switzerland","Equatorial Guinea","2013","0","0","0","0"
"Switzerland","Eritrea","2013","13106","0","13106","0"
"Switzerland","Ethiopia","2013","657","0","657","0"
"Switzerland","France","2013","2","0","2","0"
"Switzerland","Gabon","2013","5","0","5","0"
"Switzerland","Gambia","2013","35","0","35","0"
"Switzerland","Georgia","2013","83","0","83","0"
"Switzerland","Germany","2013","2","0","2","0"
"Switzerland","Ghana","2013","8","0","8","0"
"Switzerland","Greece","2013","0","0","0","0"
"Switzerland","Guinea","2013","101","0","101","0"
"Switzerland","Guinea-Bissau","2013","33","0","33","0"
"Switzerland","Haiti","2013","2","0","2","0"
"Switzerland","Hungary","2013","10","0","10","0"
"Switzerland","India","2013","43","0","43","0"
"Switzerland","Iraq","2013","3883","0","3883","0"
"Switzerland","Islamic Rep. of Iran","2013","1355","0","1355","0"
"Switzerland","Israel","2013","2","0","2","0"
"Switzerland","Italy","2013","7","0","7","0"
"Switzerland","Jordan","2013","29","0","29","0"
"Switzerland","Kazakhstan","2013","16","0","16","0"
"Switzerland","Kenya","2013","46","0","46","0"
"Switzerland","Kuwait","2013","0","0","0","0"
"Switzerland","Kyrgyzstan","2013","25","0","25","0"
"Switzerland","Lao People's Dem. Rep.","2013","149","0","149","0"
"Switzerland","Latvia","2013","2","0","2","0"
"Switzerland","Lebanon","2013","35","0","35","0"
"Switzerland","Liberia","2013","50","0","50","0"
"Switzerland","Libya","2013","199","0","199","0"
"Switzerland","Madagascar","2013","4","0","4","0"
"Switzerland","Malaysia","2013","2","0","2","0"
"Switzerland","Mali","2013","10","0","10","0"
"Switzerland","Mauritania","2013","2","0","2","0"
"Switzerland","Mexico","2013","1","0","1","0"
"Switzerland","Mongolia","2013","62","0","62","0"
"Switzerland","Montenegro","2013","29","0","29","0"
"Switzerland","Morocco","2013","34","0","34","0"
"Switzerland","Myanmar","2013","45","0","45","0"
"Switzerland","Nepal","2013","9","0","9","0"
"Switzerland","Niger","2013","10","0","10","0"
"Switzerland","Nigeria","2013","113","0","113","0"
"Switzerland","Pakistan","2013","99","0","99","0"
"Switzerland","Paraguay","2013","2","0","2","0"
"Switzerland","Peru","2013","10","0","10","0"
"Switzerland","Philippines","2013","3","0","3","0"
"Switzerland","Poland","2013","9","0","9","0"
"Switzerland","Portugal","2013","5","0","5","0"
"Switzerland","Rep. of Moldova","2013","14","0","14","0"
"Switzerland","Romania","2013","25","0","25","0"
"Switzerland","Russian Federation","2013","601","0","601","0"
"Switzerland","Rwanda","2013","168","0","168","0"
"Switzerland","Saudi Arabia","2013","3","0","3","0"
"Switzerland","Senegal","2013","11","0","11","0"
"Switzerland","Serbia (and Kosovo: S/RES/1244 (1999))","2013","3542","0","3542","0"
"Switzerland","Sierra Leone","2013","34","0","34","0"
"Switzerland","Slovakia","2013","1","0","1","0"
"Switzerland","Somalia","2013","4101","0","4101","0"
"Switzerland","South Africa","2013","3","0","3","0"
"Switzerland","Spain","2013","3","0","3","0"
"Switzerland","Sri Lanka","2013","3065","0","3065","0"
"Switzerland","State of Palestine","2013","24","0","24","0"
"Switzerland","Stateless","2013","142","0","142","0"
"Switzerland","Sudan","2013","167","0","167","0"
"Switzerland","Syrian Arab Rep.","2013","2012","0","2012","0"
"Switzerland","Tajikistan","2013","4","0","4","0"
"Switzerland","The former Yugoslav Rep. of Macedonia","2013","153","0","153","0"
"Switzerland","Togo","2013","703","0","703","0"
"Switzerland","Tunisia","2013","333","0","333","0"
"Switzerland","Turkey","2013","3638","0","3638","0"
"Switzerland","Turkmenistan","2013","9","0","9","0"
"Switzerland","Uganda","2013","31","0","31","0"
"Switzerland","Ukraine","2013","19","0","19","0"
"Switzerland","United Rep. of Tanzania","2013","14","0","14","0"
"Switzerland","United States","2013","1","0","1","0"
"Switzerland","Uzbekistan","2013","54","0","54","0"
"Switzerland","Various","2013","625","0","625","0"
"Switzerland","Venezuela (Bolivarian Republic of)","2013","3","0","3","0"
"Switzerland","Viet Nam","2013","1255","0","1255","0"
"Switzerland","Western Sahara","2013","5","0","5","0"
"Switzerland","Yemen","2013","252","0","252","0"
"Switzerland","Zimbabwe","2013","14","0","14","0"
"Syrian Arab Rep.","Afghanistan","2013","1141","1141","1141","1141"
"Syrian Arab Rep.","Algeria","2013","9","9","9","9"
"Syrian Arab Rep.","Bahrain","2013","1","1","1","1"
"Syrian Arab Rep.","Bulgaria","2013","0","0","0","0"
"Syrian Arab Rep.","Burkina Faso","2013","1","1","1","1"
"Syrian Arab Rep.","Burundi","2013","3","3","3","3"
"Syrian Arab Rep.","Chad","2013","1","1","1","1"
"Syrian Arab Rep.","Congo","2013","1","1","1","1"
"Syrian Arab Rep.","Côte d'Ivoire","2013","3","3","3","3"
"Syrian Arab Rep.","Dem. Rep. of the Congo","2013","4","4","4","4"
"Syrian Arab Rep.","Egypt","2013","16","16","16","16"
"Syrian Arab Rep.","Eritrea","2013","43","43","43","43"
"Syrian Arab Rep.","Ethiopia","2013","19","19","19","19"
"Syrian Arab Rep.","Guinea","2013","6","6","6","6"
"Syrian Arab Rep.","India","2013","2","2","2","2"
"Syrian Arab Rep.","Iraq","2013","146200","28298","146200","28298"
"Syrian Arab Rep.","Islamic Rep. of Iran","2013","40","40","40","40"
"Syrian Arab Rep.","Jordan","2013","26","26","26","26"
"Syrian Arab Rep.","Kenya","2013","1","1","1","1"
"Syrian Arab Rep.","Kuwait","2013","25","25","25","25"
"Syrian Arab Rep.","Lebanon","2013","25","25","25","25"
"Syrian Arab Rep.","Libya","2013","4","4","4","4"
"Syrian Arab Rep.","Mali","2013","0","0","0","0"
"Syrian Arab Rep.","Mauritania","2013","0","0","0","0"
"Syrian Arab Rep.","Morocco","2013","6","6","6","6"
"Syrian Arab Rep.","Netherlands","2013","0","0","0","0"
"Syrian Arab Rep.","Pakistan","2013","19","19","19","19"
"Syrian Arab Rep.","Russian Federation","2013","2","2","2","2"
"Syrian Arab Rep.","Saudi Arabia","2013","5","5","5","5"
"Syrian Arab Rep.","Sierra Leone","2013","1","1","1","1"
"Syrian Arab Rep.","Somalia","2013","1007","1007","1007","1007"
"Syrian Arab Rep.","South Sudan","2013","31","31","31","31"
"Syrian Arab Rep.","State of Palestine","2013","35","35","35","35"
"Syrian Arab Rep.","Stateless","2013","0","0","0","0"
"Syrian Arab Rep.","Sudan","2013","548","548","548","548"
"Syrian Arab Rep.","Tunisia","2013","1","1","1","1"
"Syrian Arab Rep.","Turkey","2013","5","5","5","5"
"Syrian Arab Rep.","Uzbekistan","2013","1","1","1","1"
"Syrian Arab Rep.","Yemen","2013","60","60","60","60"
"Tajikistan","Afghanistan","2013","2004","1903","2004","1903"
"Tajikistan","Iraq","2013","3","3","3","3"
"Tajikistan","Kyrgyzstan","2013","36","36","36","36"
"Tajikistan","Pakistan","2013","4","4","4","4"
"Tajikistan","Uzbekistan","2013","1","1","1","1"
"Thailand","Afghanistan","2013","8","8","8","8"
"Thailand","Cambodia","2013","59","59","59","59"
"Thailand","China","2013","79","79","79","79"
"Thailand","Côte d'Ivoire","2013","18","18","18","18"
"Thailand","Dem. Rep. of the Congo","2013","26","26","26","26"
"Thailand","Egypt","2013","6","6","6","6"
"Thailand","Eritrea","2013","0","0","0","0"
"Thailand","Ethiopia","2013","1","1","1","1"
"Thailand","Guinea","2013","2","2","2","2"
"Thailand","Iraq","2013","63","63","63","63"
"Thailand","Islamic Rep. of Iran","2013","29","29","29","29"
"Thailand","Jordan","2013","2","2","2","2"
"Thailand","Lao People's Dem. Rep.","2013","1","1","1","1"
"Thailand","Liberia","2013","1","1","1","1"
"Thailand","Myanmar","2013","77947","77947","135476","77947"
"Thailand","Nepal","2013","13","13","13","13"
"Thailand","Pakistan","2013","190","190","190","190"
"Thailand","Rwanda","2013","4","4","4","4"
"Thailand","Saudi Arabia","2013","2","2","2","2"
"Thailand","Somalia","2013","72","72","72","72"
"Thailand","Sri Lanka","2013","147","147","147","147"
"Thailand","State of Palestine","2013","120","120","120","120"
"Thailand","Stateless","2013","5","5","5","5"
"Thailand","Sudan","2013","1","1","1","1"
"Thailand","Syrian Arab Rep.","2013","44","44","44","44"
"Thailand","Togo","2013","4","4","4","4"
"Thailand","Turkey","2013","0","0","0","0"
"Thailand","Uzbekistan","2013","2","2","2","2"
"Thailand","Viet Nam","2013","119","119","119","119"
"Thailand","Yemen","2013","4","4","4","4"
"Thailand","Zimbabwe","2013","1","1","1","1"
"The former Yugoslav Rep. of Macedonia","Afghanistan","2013","1","1","1","1"
"The former Yugoslav Rep. of Macedonia","Bosnia and Herzegovina","2013","0","0","6","6"
"The former Yugoslav Rep. of Macedonia","Serbia (and Kosovo: S/RES/1244 (1999))","2013","685","685","974","974"
"The former Yugoslav Rep. of Macedonia","State of Palestine","2013","1","1","1","1"
"Togo","Benin","2013","0","0","0","0"
"Togo","Burundi","2013","4","4","4","4"
"Togo","Central African Rep.","2013","23","23","23","23"
"Togo","Chad","2013","16","16","16","16"
"Togo","Congo","2013","43","43","43","43"
"Togo","Côte d'Ivoire","2013","2433","2433","2433","2433"
"Togo","Dem. Rep. of the Congo","2013","73","73","73","73"
"Togo","Ghana","2013","17746","9283","17746","9283"
"Togo","Iraq","2013","4","4","4","4"
"Togo","Libya","2013","1","1","1","1"
"Togo","Mali","2013","37","37","37","37"
"Togo","Nigeria","2013","8","8","8","8"
"Togo","Rwanda","2013","224","224","224","224"
"Togo","Serbia (and Kosovo: S/RES/1244 (1999))","2013","0","0","0","0"
"Togo","Somalia","2013","0","0","0","0"
"Togo","Sri Lanka","2013","0","0","0","0"
"Togo","Sudan","2013","1","1","1","1"
"Togo","Syrian Arab Rep.","2013","0","0","0","0"
"Tonga","Dem. Rep. of the Congo","2013","1","1","1","1"
"Tonga","Stateless","2013","2","2","2","2"
"Trinidad and Tobago","Bangladesh","2013","3","0","3","0"
"Trinidad and Tobago","Cameroon","2013","1","0","1","0"
"Trinidad and Tobago","Colombia","2013","4","0","4","0"
"Trinidad and Tobago","Côte d'Ivoire","2013","1","0","1","0"
"Trinidad and Tobago","Dem. Rep. of the Congo","2013","1","0","1","0"
"Trinidad and Tobago","Egypt","2013","1","1","1","1"
"Trinidad and Tobago","Gambia","2013","2","1","2","1"
"Trinidad and Tobago","Haiti","2013","2","0","2","0"
"Trinidad and Tobago","Jamaica","2013","1","1","1","1"
"Trinidad and Tobago","Kenya","2013","1","0","1","0"
"Trinidad and Tobago","Liberia","2013","1","0","1","0"
"Trinidad and Tobago","Sri Lanka","2013","1","0","1","0"
"Trinidad and Tobago","Syrian Arab Rep.","2013","1","1","1","1"
"Tunisia","Algeria","2013","20","20","20","20"
"Tunisia","Bulgaria","2013","1","1","1","1"
"Tunisia","Burundi","2013","3","3","3","3"
"Tunisia","Cameroon","2013","1","1","1","1"
"Tunisia","Central African Rep.","2013","4","4","4","4"
"Tunisia","Chad","2013","14","14","14","14"
"Tunisia","Côte d'Ivoire","2013","15","15","15","15"
"Tunisia","Dem. Rep. of the Congo","2013","8","8","8","8"
"Tunisia","Egypt","2013","1","1","1","1"
"Tunisia","Eritrea","2013","71","71","71","71"
"Tunisia","Ethiopia","2013","23","23","23","23"
"Tunisia","Gambia","2013","1","1","1","1"
"Tunisia","Guinea","2013","1","1","1","1"
"Tunisia","India","2013","0","0","0","0"
"Tunisia","Iraq","2013","64","64","64","64"
"Tunisia","Islamic Rep. of Iran","2013","6","6","6","6"
"Tunisia","Libya","2013","1","1","1","1"
"Tunisia","Mali","2013","3","3","3","3"
"Tunisia","Morocco","2013","0","0","0","0"
"Tunisia","Oman","2013","1","1","1","1"
"Tunisia","Pakistan","2013","0","0","0","0"
"Tunisia","Poland","2013","1","1","1","1"
"Tunisia","Rwanda","2013","8","8","8","8"
"Tunisia","Senegal","2013","0","0","0","0"
"Tunisia","Somalia","2013","139","139","139","139"
"Tunisia","State of Palestine","2013","38","38","38","38"
"Tunisia","Sudan","2013","142","142","142","142"
"Tunisia","Syrian Arab Rep.","2013","164","164","164","164"
"Turkey","Afghanistan","2013","3926","3926","3926","3926"
"Turkey","Algeria","2013","2","2","2","2"
"Turkey","Azerbaijan","2013","2","2","2","2"
"Turkey","Cameroon","2013","7","7","7","7"
"Turkey","Central African Rep.","2013","1","1","1","1"
"Turkey","Chad","2013","1","1","1","1"
"Turkey","China","2013","16","16","16","16"
"Turkey","Congo","2013","2","2","2","2"
"Turkey","Côte d'Ivoire","2013","16","16","16","16"
"Turkey","Cuba","2013","1","1","1","1"
"Turkey","Dem. Rep. of the Congo","2013","45","45","45","45"
"Turkey","Egypt","2013","17","17","17","17"
"Turkey","Eritrea","2013","47","47","47","47"
"Turkey","Ethiopia","2013","93","93","93","93"
"Turkey","Guinea","2013","6","6","6","6"
"Turkey","Iraq","2013","13467","13467","13467","13467"
"Turkey","Islamic Rep. of Iran","2013","3321","3321","3321","3321"
"Turkey","Jordan","2013","18","18","18","18"
"Turkey","Kazakhstan","2013","0","0","0","0"
"Turkey","Kenya","2013","0","0","0","0"
"Turkey","Kyrgyzstan","2013","211","211","211","211"
"Turkey","Lebanon","2013","4","4","4","4"
"Turkey","Liberia","2013","5","5","5","5"
"Turkey","Mauritania","2013","5","5","5","5"
"Turkey","Morocco","2013","11","11","11","11"
"Turkey","Nigeria","2013","3","3","3","3"
"Turkey","Oman","2013","0","0","0","0"
"Turkey","Pakistan","2013","26","26","26","26"
"Turkey","Philippines","2013","1","1","1","1"
"Turkey","Russian Federation","2013","5","5","5","5"
"Turkey","Rwanda","2013","1","1","1","1"
"Turkey","Saudi Arabia","2013","5","5","5","5"
"Turkey","Senegal","2013","1","1","1","1"
"Turkey","Sierra Leone","2013","3","3","3","3"
"Turkey","Somalia","2013","2153","2153","2153","2153"
"Turkey","Sri Lanka","2013","15","15","15","15"
"Turkey","State of Palestine","2013","588","588","588","588"
"Turkey","Stateless","2013","15","15","15","15"
"Turkey","Sudan","2013","174","174","174","174"
"Turkey","Syrian Arab Rep.","2013","585601","585601","585601","585601"
"Turkey","Tajikistan","2013","12","12","12","12"
"Turkey","Togo","2013","3","3","3","3"
"Turkey","Tunisia","2013","8","8","8","8"
"Turkey","Turkmenistan","2013","1","1","1","1"
"Turkey","Uganda","2013","7","7","7","7"
"Turkey","United Arab Emirates","2013","1","1","1","1"
"Turkey","Uzbekistan","2013","57","57","57","57"
"Turkey","Yemen","2013","34","34","34","34"
"Turkmenistan","Afghanistan","2013","19","19","19","19"
"Turkmenistan","Armenia","2013","4","4","4","4"
"Turkmenistan","Azerbaijan","2013","21","21","21","21"
"Turkmenistan","Russian Federation","2013","1","1","1","1"
"Turks and Caicos Islands","Colombia","2013","1","1","1","1"
"Turks and Caicos Islands","Cuba","2013","3","3","3","3"
"Uganda","Burundi","2013","10587","10587","10587","10587"
"Uganda","Cameroon","2013","0","0","0","0"
"Uganda","Canada","2013","0","0","0","0"
"Uganda","Central African Rep.","2013","8","8","8","8"
"Uganda","Chad","2013","2","2","2","2"
"Uganda","Comoros","2013","1","1","1","1"
"Uganda","Dem. Rep. of the Congo","2013","155742","155742","155742","155742"
"Uganda","Egypt","2013","4","4","4","4"
"Uganda","Eritrea","2013","1992","1992","1992","1992"
"Uganda","Ethiopia","2013","880","880","880","880"
"Uganda","Iraq","2013","1","1","1","1"
"Uganda","Islamic Rep. of Iran","2013","2","2","2","2"
"Uganda","Kenya","2013","1197","1197","1197","1197"
"Uganda","Liberia","2013","1","1","1","1"
"Uganda","Libya","2013","0","0","0","0"
"Uganda","Malawi","2013","1","1","1","1"
"Uganda","Pakistan","2013","34","34","34","34"
"Uganda","Rwanda","2013","13376","13376","13376","13376"
"Uganda","Sierra Leone","2013","0","0","0","0"
"Uganda","Somalia","2013","13144","13144","13144","13144"
"Uganda","South Sudan","2013","22510","22510","22510","22510"
"Uganda","State of Palestine","2013","1","1","1","1"
"Uganda","Sudan","2013","1068","1068","1068","1068"
"Uganda","United Rep. of Tanzania","2013","3","3","3","3"
"Uganda","Yemen","2013","1","1","1","1"
"Ukraine","Afghanistan","2013","1494","158","1494","158"
"Ukraine","Algeria","2013","1","0","1","0"
"Ukraine","Angola","2013","30","10","30","10"
"Ukraine","Armenia","2013","200","17","200","17"
"Ukraine","Azerbaijan","2013","184","12","184","12"
"Ukraine","Bangladesh","2013","6","1","6","1"
"Ukraine","Belarus","2013","21","0","21","0"
"Ukraine","Bosnia and Herzegovina","2013","1","0","1","0"
"Ukraine","Burkina Faso","2013","1","0","1","0"
"Ukraine","Burundi","2013","7","1","7","1"
"Ukraine","Cameroon","2013","1","2","1","2"
"Ukraine","Chad","2013","7","0","7","0"
"Ukraine","China","2013","3","0","3","0"
"Ukraine","Congo","2013","21","8","21","8"
"Ukraine","Côte d'Ivoire","2013","3","3","3","3"
"Ukraine","Dem. Rep. of the Congo","2013","65","21","65","21"
"Ukraine","Egypt","2013","3","1","3","1"
"Ukraine","Eritrea","2013","14","4","14","4"
"Ukraine","Ethiopia","2013","16","9","16","9"
"Ukraine","Georgia","2013","63","4","63","4"
"Ukraine","Guinea","2013","4","3","4","3"
"Ukraine","Guinea-Bissau","2013","1","0","1","0"
"Ukraine","India","2013","2","0","2","0"
"Ukraine","Iraq","2013","77","11","77","11"
"Ukraine","Islamic Rep. of Iran","2013","59","19","59","19"
"Ukraine","Jordan","2013","3","1","3","1"
"Ukraine","Kazakhstan","2013","8","0","8","0"
"Ukraine","Kyrgyzstan","2013","8","4","8","4"
"Ukraine","Lebanon","2013","6","0","6","0"
"Ukraine","Liberia","2013","3","0","3","0"
"Ukraine","Libya","2013","2","0","2","0"
"Ukraine","Madagascar","2013","2","0","2","0"
"Ukraine","Mali","2013","2","0","2","0"
"Ukraine","Mozambique","2013","1","0","1","0"
"Ukraine","Nepal","2013","2","0","2","0"
"Ukraine","Nigeria","2013","4","2","4","2"
"Ukraine","Pakistan","2013","1","1","1","1"
"Ukraine","Russian Federation","2013","103","44","103","44"
"Ukraine","Rwanda","2013","4","1","4","1"
"Ukraine","Saudi Arabia","2013","1","0","1","0"
"Ukraine","Serbia (and Kosovo: S/RES/1244 (1999))","2013","5","0","5","0"
"Ukraine","Sierra Leone","2013","5","1","5","1"
